@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2022/10/06 15:25:23:788',1,-1,0.660352,0.021185,0.077676,0.134779,0.085388,0.093893,0.080842,0.079399,0.088559,0.064966,0.049364,0.065718,0.052369,0.020162,0.02383,0.024407,0.037797,0.059793,0.029465,0.01838,0.047551,0.037152,0.00873,1
2,'2022/10/06 15:25:23:795',1,-1,0.600834,0.128094,0.195083,0.127043,0.118701,0.06318,0.059382,0.085915,0.045976,0.026058,-0.013288,0.023707,0.047032,0.017897,0.034856,0.013813,0.009381,0.029704,0.004809,0.009346,0.039319,-0.007817,-0.014828,1
3,'2022/10/06 15:25:23:800',1,-1,0.600834,0.128094,0.195083,0.127043,0.118701,0.06318,0.059382,0.085915,0.045976,0.026058,-0.013288,0.023707,0.047032,0.017897,0.034856,0.013813,0.009381,0.029704,0.004809,0.009346,0.039319,-0.007817,-0.014828,1
4,'2022/10/06 15:25:23:815',1,-0.72923,0.289061,-0.105379,0.12174,-0.009113,0.006635,-0.059369,-0.008849,-0.026264,0.016631,-0.016635,-0.051245,-0.007101,0.01587,-0.00229,-0.003531,-0.052282,0.030833,-0.005596,-0.016575,-0.010655,0.026183,-0.000504,-0.000596,1
5,'2022/10/06 15:25:23:819',1,-0.645735,0.397306,-0.09028,0.118953,-0.006122,0.032206,-0.018515,0.004371,-0.016583,0.007264,-0.041513,-0.043822,0.005001,0.028189,0.008157,0.014245,-0.047137,0.016013,-0.008517,-0.00835,-0.000172,0.023193,-0.005764,-0.00131,1
6,'2022/10/06 15:25:23:824',1,-1,0.548862,-0.013661,0.155856,0.032517,0.078476,0.047974,0.004262,0.009364,0.012312,-0.083753,-0.025795,0.022731,0.022441,0.008246,0.02785,-0.041045,-0.016354,-0.007881,0.005012,0.024608,0.020832,-0.009351,-0.001616,1
7,'2022/10/06 15:25:23:830',1,-1,0.671921,0.09748,0.196962,0.038781,0.079465,0.005652,0.015616,0.033405,0.052528,-0.061075,-0.004947,0.033777,0.025457,-0.037886,-0.028952,-0.02023,0.01449,0.016739,0.014592,-0.009051,-0.003609,-0.002117,0.012437,1
8,'2022/10/06 15:25:23:835',1,-1,0.694667,0.092425,0.129346,0.070431,0.113524,-0.041053,0.020876,0.015845,0.059015,-0.00923,0.007332,0.006764,0.020606,-0.007568,-0.001568,0.003697,-0.006423,-0.010378,-0.019973,-0.03639,0.000641,-0.000674,-0.002747,1
9,'2022/10/06 15:25:23:842',1,-1,0.615833,-0.092941,-0.022415,0.026994,0.138023,0.038535,0.043991,-0.081418,0.021139,0.028564,0.044404,0.010798,0.004296,0.018915,0.018033,0.041534,0.009333,-0.032533,-0.026155,-0.0107,0.037653,0.017025,-0.006879,1
10,'2022/10/06 15:25:23:849',1,-1,0.590488,-0.131785,-0.097458,0.036422,0.185017,0.094136,0.141214,-0.086422,0.073527,0.027568,0.024614,-0.015517,-0.037502,0.023815,0.007507,0.09015,0.019335,-0.034773,0.020033,0.001161,0.041217,0.027649,0.005858,1
11,'2022/10/06 15:25:23:854',1,-1,0.632861,-0.028302,-0.105022,-0.015528,0.199759,0.044263,0.137178,-0.080405,0.077534,-0.009192,0.034951,0.001153,-0.038424,0.022331,-0.036079,0.055038,-0.002081,-0.054251,0.031243,0.03024,0.033705,0.007878,-0.008263,1
12,'2022/10/06 15:25:23:859',1,-1,0.726137,-0.052662,-0.116793,-0.066088,0.118546,0.041863,0.117378,-0.08147,0.045337,-0.016428,0.039888,-0.02998,-0.021974,0.035842,-0.040263,0.035072,-0.003074,-0.062538,0.028158,0.025075,0.027159,0.013111,0.008663,1
